Date,BTC_price,volume,sentiment,F1,F2,F3,F4
2018-05-07,10762335.8,8.25002E+12,-0.009342044,0.786934632,-0.956713737,-1.952321296,-3.036703998
2018-05-08,10466880.49,8.27439E+12,-0.00288275,0.792598839,-0.957934181,-1.909817495,-2.227255175
2018-05-09,10291549,8.06354E+12,0.012597611,0.737649047,-1.109704844,-1.866940534,-2.193968872
2018-05-10,10405613.46,7.70628E+12,0.011762396,0.640968542,-1.190873534,-1.810465476,-2.342350409
2018-05-11,10101008.62,9.47122E+12,-0.009068329,0.610456903,-1.293847538,-1.829161329,-2.245278565
2018-05-12,9418694.32,7.61108E+12,-0.009376803,0.609193111,-1.273772045,-1.831804815,-2.368869267
2018-05-13,9501316.77,6.54552E+12,0.008320831,0.60792932,-1.25369655,-1.8344483,-2.492459968
2018-05-14,9721803.11,8.21669E+12,0.006542737,0.606665528,-1.233621057,-1.837091785,-1.758435811
2018-05-15,9712978.3,7.48202E+12,0.007173843,0.686318474,-1.014642607,-1.871951895,-1.917239314
2018-05-16,9488953.97,7.54284E+12,0.003832663,0.651571183,-1.113150401,-1.845639828,-1.561599292
2018-05-17,9339038.9,6.54123E+12,0.005169051,0.680039769,-1.077959017,-1.850634688,-1.509802225
2018-05-18,9028610.06,6.4315E+12,-0.004455861,0.679320785,-1.113150401,-1.843430495,-1.623301563
2018-05-19,9211484.98,5.25795E+12,0.010618169,0.661410823,-1.114311289,-1.838587664,-1.734822861
2018-05-20,9201732.9,5.79202E+12,-0.003742323,0.643500861,-1.115472177,-1.833744833,-1.846344158
2018-05-21,9508948.45,5.75178E+12,0.020826514,0.6255909,-1.116633064,-1.828902003,-1.656585176
2018-05-22,9394626.84,5.73171E+12,-0.004643831,0.638978086,-1.111500119,-1.850400913,-1.881880726
2018-05-23,8967521.73,7.24259E+12,0.002217709,0.604237322,-1.163760031,-1.815091227,-1.421247923
2018-05-24,8436460.54,6.74953E+12,-0.011605301,0.624031748,-1.165716282,-1.809092409,-1.373181991
2018-05-25,8471249.86,5.43137E+12,-0.006229547,0.640714097,-1.144232919,-1.810169624,-1.191378615
2018-05-26,8353179.42,4.52058E+12,-0.009903315,0.646001596,-1.072895712,-1.812686072,-1.291232822
2018-05-27,8214377.91,4.52614E+12,-0.008085166,0.651289093,-1.001558506,-1.81520252,-1.391087028
2018-05-28,8224676.44,5.62414E+12,0.000543705,0.656576592,-0.930221299,-1.817718968,-1.318154394
2018-05-29,7954827.69,6.31822E+12,0.005729097,0.710069732,-0.827586941,-1.820235416,-1.121522346
2018-05-30,8334490.3,5.49242E+12,0.005931255,0.717346292,-0.757534688,-1.766482093,-1.449445024
2018-05-31,8263549.64,5.72069E+12,0.004461892,0.730127228,-0.805034979,-1.775663658,-1.217492447
2018-06-01,8369045.89,5.49121E+12,0.012916407,0.619508505,-1.067999094,-1.689297027,-1.235575304
2018-06-02,8409235.9,5.51112E+12,0.011317475,0.602331665,-1.100302056,-1.664654152,-1.362699331
2018-06-03,8515646.34,5.41344E+12,0.022995164,0.585154821,-1.132605018,-1.640011276,-1.489823358
2018-06-04,8616556.39,5.57122E+12,0.012459961,0.567977981,-1.164907979,-1.6153684,-1.342835373
2018-06-05,8369268.72,5.53615E+12,0.003860067,0.544667642,-1.203707611,-1.59601214,-1.198458497
2018-06-06,8508818.25,5.23548E+12,0.010419274,0.475499621,-1.266519972,-1.543287143,-1.265523089
2018-06-07,8536544.66,5.00511E+12,0.002275156,0.480924048,-1.237356601,-1.623499288,-1.332587682
2018-06-08,8574838.19,4.717E+12,0.000246203,0.496466804,-1.181132813,-1.597613328,-1.375987541
2018-06-09,8516126.31,4.29038E+12,0.002660649,0.482605473,-1.168636481,-1.602819711,-1.475117583
2018-06-10,8367762.32,6.47686E+12,-0.000755306,0.468744142,-1.156140151,-1.608026094,-1.574247625
2018-06-11,7586434.45,5.29462E+12,-0.02650381,0.454882811,-1.143643819,-1.613232478,-1.045884912
2018-06-12,7705297.04,5.19321E+12,0.006435062,0.435630671,-1.182280762,-1.568180303,-0.917625837
2018-06-13,7360591.55,5.63725E+12,-0.011947352,0.495922373,-1.122196704,-1.568944268,-1.104942995
2018-06-14,7077041.4,5.73361E+12,-0.009816932,0.50379751,-1.16659708,-1.54235618,-0.767091976
2018-06-15,7446729.11,4.4133E+12,0.018069885,0.546736557,-1.136413057,-1.542439905,-0.832056737
2018-06-16,7202788.74,3.56395E+12,-0.016894292,0.565992611,-1.086972498,-1.528188401,-0.925313002
2018-06-17,7303296.72,3.46337E+12,0.007492394,0.585248663,-1.037531938,-1.513936897,-1.018569267
2018-06-18,7263731.61,4.50681E+12,-0.004168492,0.604504717,-0.988091379,-1.499685393,-0.453505788
2018-06-19,7522947.32,4.52671E+12,0.011380543,0.692194559,-0.769438305,-1.546853367,-0.293786075
2018-06-20,7554601.27,4.33882E+12,-0.030137747,0.625788282,-0.927792403,-1.50459997,-0.189464166
2018-06-21,7565011.47,3.93769E+12,-0.003050964,0.721125915,-0.751183012,-1.546248092,-0.126857282
2018-06-22,7517914.93,5.66789E+12,0.000784378,0.685289965,-0.873772606,-1.576685603,-0.721886134
2018-06-23,6795142.57,3.8286E+12,-0.01085935,0.722195282,-0.777555952,-1.627639246,-0.816268877
2018-06-24,6877909.94,5.09561E+12,-0.007939365,0.759100601,-0.681339298,-1.678592888,-0.91065162
2018-06-25,6886490.68,6.13763E+12,0.004005361,0.796005918,-0.585122643,-1.72954653,-0.432348664
2018-06-26,6977514.62,3.65945E+12,0.00305569,0.789085605,-0.666475144,-1.696344247,-0.269066476
2018-06-27,6788782.47,3.67782E+12,0.001649651,0.879073543,-0.490762534,-1.783214686,-0.197472441
2018-06-28,6865503,3.86926E+12,0.000224412,0.881799585,-0.515351809,-1.705378493,0.099508454
2018-06-29,6580948.23,4.42539E+12,-0.01879878,0.855723664,-0.62812476,-1.720686681,0.046758293
2018-06-30,6933631.9,5.0699E+12,0.007164517,0.876831094,-0.574103063,-1.705408295,-0.023783015
2018-07-01,7153951.53,5.34259E+12,-0.006614479,0.897938522,-0.520081367,-1.690129909,-0.094324323
2018-07-02,7119027.64,4.90596E+12,0.010505899,0.919045952,-0.466059669,-1.674851523,0.196418537
2018-07-03,7360346.39,5.21322E+12,0.012201321,0.959206082,-0.476286742,-1.721475446,-0.296615967
2018-07-04,7309255.3,4.66022E+12,0.010245602,0.939715433,-0.542588901,-1.683074489,-0.218211033
2018-07-05,7363749.26,5.578E+12,0.009478249,0.921283932,-0.598554386,-1.644673533,-0.34559918
2018-07-06,7407241.9,4.81338E+12,0.004045009,0.825011215,-0.80759061,-1.580010474,-0.409690323
2018-07-07,7440737.3,4.41965E+12,-0.000874545,0.79720536,-0.86647696,-1.57214758,-0.517746975
2018-07-08,7651717.81,3.77823E+12,-0.003644916,0.769399506,-0.92536331,-1.564284686,-0.625803627
2018-07-09,7559421.74,4.14857E+12,0.008018711,0.741593651,-0.984249661,-1.556421792,-0.634968109
2018-07-10,7519398.98,4.52157E+12,-0.006368358,0.710277558,-1.067176522,-1.554254805,-0.735813799
2018-07-11,7063674.52,4.06682E+12,-0.007407102,0.77950841,-0.913361131,-1.556295289,-0.636369003
2018-07-12,7137326.14,4.20664E+12,-0.015076429,0.698729951,-1.052640789,-1.470873385,-0.494754965
2018-07-13,6956850.57,4.24595E+12,-0.001212257,0.648269038,-1.172518919,-1.50784515,-0.516073968
2018-07-14,6970764.44,3.26214E+12,0.013382128,0.657093055,-1.141932837,-1.512246096,-0.612500907
2018-07-15,6998882.03,3.66581E+12,0.023809427,0.665917072,-1.111346756,-1.51664704,-0.708927847
2018-07-16,7092952,5.2729E+12,0.006482497,0.674741089,-1.080760674,-1.521047986,-0.522451462
2018-07-17,7519889.86,6.65216E+12,0.016858137,0.648256996,-1.117605768,-1.463779347,-1.260414165
2018-07-18,8162204.29,6.80999E+12,0.043384219,0.652065458,-1.097434755,-1.459897844,-1.417068963
2018-07-19,8232364.24,5.7034E+12,0.008930695,0.692936046,-1.017520187,-1.468920505,-1.164637877
2018-07-20,8331890.47,5.5084E+12,0.009131365,0.686900802,-1.047543235,-1.470294061,-1.134327189
2018-07-21,8203934.47,4.15803E+12,-0.000614236,0.693352032,-1.032469205,-1.46008502,-1.234181395
2018-07-22,8276548.24,4.12328E+12,0.002920428,0.699803262,-1.017395175,-1.44987598,-1.334035602
2018-07-23,8273100.69,5.72666E+12,0.025708146,0.706254493,-1.002321145,-1.439666939,-1.028903419
2018-07-24,8609839.44,8.12022E+12,0.021388736,0.66566047,-1.066872268,-1.436956351,-1.157982977
2018-07-25,9349761.83,6.52211E+12,0.012854139,0.607648406,-1.092929728,-1.37190758,-1.375192903
2018-07-26,9123472.73,5.46625E+12,0.006696153,0.618775095,-1.165986858,-1.392854872,-1.539830586
2018-07-27,8870806.71,5.7974E+12,-0.00266909,0.674582048,-1.143569609,-1.471542344,-1.309749309
2018-07-28,9114780.85,4.45052E+12,-0.002056243,0.69540221,-1.098183688,-1.509214127,-1.41064953
2018-07-29,9155796.79,4.58267E+12,0.000630866,0.716222372,-1.052797767,-1.546885911,-1.511549752
2018-07-30,9173380.95,6.19408E+12,-0.00746746,0.737042534,-1.007411845,-1.584557695,-1.280055798
2018-07-31,9128326.22,5.89966E+12,0.007276607,0.698591807,-1.125552927,-1.610484789,-1.238219667
2018-08-01,8668451.02,5.35303E+12,-0.007262874,0.67190046,-1.14852217,-1.551026361,-1.036283405
2018-08-02,8517989.63,4.70197E+12,0.001027918,0.683623483,-1.136466144,-1.462778075,-1.116097802
2018-08-03,8437598.5,5.16283E+12,0.00286825,0.628836057,-1.269104141,-1.505744925,-0.944598059
2018-08-04,8299834.55,4.76254E+12,-0.007379706,0.61909933,-1.275594911,-1.48886027,-1.034233503
2018-08-05,7845058.41,4.10504E+12,-0.015115904,0.609362604,-1.282085682,-1.471975614,-1.123868947
2018-08-06,7880606.8,4.3804E+12,0.006424083,0.599625876,-1.288576453,-1.455090959,-0.981239887
2018-08-07,7763875.09,5.22492E+12,0.010707337,0.55526863,-1.352356379,-1.430342027,-0.726369721
2018-08-08,7527923.5,5.65073E+12,-0.008883154,0.552813468,-1.359965605,-1.421101368,-0.664549235
2018-08-09,7035545.97,4.76103E+12,-0.000347927,0.554583208,-1.379022348,-1.438462182,-0.619215709
2018-08-10,7332184.21,5.05296E+12,0.005091558,0.640537547,-1.179657775,-1.443174501,-0.542371429
2018-08-11,6901910.36,4.51646E+12,-0.008856835,0.668624843,-1.080488384,-1.433898211,-0.625408932
2018-08-12,7011099.48,6.32111E+12,0.003533165,0.696712139,-0.981318994,-1.424621921,-0.708446435
2018-08-13,7075490.48,4.55678E+12,0.008169214,0.724799435,-0.882149603,-1.415345632,-0.36075544
2018-08-14,7015573.71,5.91547E+12,-0.009332677,0.661194011,-1.083343129,-1.354959164,-0.302801389
2018-08-15,6941665.2,5.46219E+12,0.010338098,0.742322489,-0.934228275,-1.437581354,-0.462278453
2018-08-16,7022904.31,4.82952E+12,0.01020308,0.71137625,-0.9705365,-1.420434697,-0.350175475
2018-08-17,7074988.39,5.57102E+12,0.008027286,0.68199214,-1.075790417,-1.454451184,-0.514582224
2018-08-18,7345584.59,4.4458E+12,-0.000845382,0.677242698,-1.083776394,-1.441825186,-0.599403024
2018-08-19,7166102.05,3.6945E+12,0.00420096,0.67249326,-1.091762371,-1.429199188,-0.684223823
2018-08-20,7253065.06,4.0894E+12,-0.00609272,0.667743818,-1.099748347,-1.41657319,-0.505452314
2018-08-21,7030536.17,3.76815E+12,-0.008859135,0.607713941,-1.176751656,-1.391589044,-0.585223165
2018-08-22,7237154.2,5.20853E+12,0.008650962,0.59463772,-1.233695267,-1.326768833,-0.859328946
2018-08-23,7108941.23,3.82282E+12,-0.00624032,0.589781424,-1.246041278,-1.273271464,-0.799363603
2018-08-24,7309980.42,4.57222E+12,0.01748501,0.521380205,-1.311400704,-1.164030417,-0.792350086
2018-08-25,7497909.32,3.6961E+12,0.008868378,0.498367179,-1.30349845,-1.147534057,-0.880134888
2018-08-26,7536615.34,3.67702E+12,0.008375043,0.475354154,-1.295596195,-1.131037697,-0.96791969
2018-08-27,7487700.04,4.48427E+12,0.003184632,0.452341128,-1.287693941,-1.114541337,-0.743261889
2018-08-28,7688850.81,5.19941E+12,0.024628904,0.44066833,-1.269567657,-1.089865951,-0.811654873
2018-08-29,7912707.47,4.62584E+12,0.027619548,0.378624193,-1.312081709,-1.004085293,-0.969950992
2018-08-30,7859206.36,4.97995E+12,-0.002328665,0.409336559,-1.213591611,-1.005661931,-1.008976077
