Date,Price,Open,High,Low,Vol.,Change %
2020-01-09,"1,990","1,980","2,010","1,980",329.46K,2.31%
2020-01-08,"1,945","2,020","2,025","1,935",810.15K,-4.89%
2020-01-07,"2,045","1,980","2,050","1,965",825.78K,3.28%
2020-01-06,"1,980","1,975","1,990","1,920",623.70K,0.51%
2020-01-05,"1,970","1,970","1,970","1,970",-,0.00%
2020-01-03,"1,970","1,985","2,010","1,965",627.03K,-0.25%
2020-01-02,"1,975","1,935","1,985","1,935",243.57K,1.80%
2019-12-30,"1,940","1,945","1,965","1,935",151.12K,0.26%
2019-12-29,"1,935","1,935","1,935","1,935",-,0.00%
2019-12-27,"1,935","1,930","1,950","1,915",134.51K,0.52%
2019-12-26,"1,925","1,900","1,940","1,900",130.24K,1.05%
2019-12-24,"1,905","1,935","1,975","1,900",190.41K,-2.06%
2019-12-23,"1,945","2,005","2,005","1,945",292.55K,-2.99%
2019-12-20,"2,005","1,995","2,015","1,970",248.92K,0.25%
2019-12-19,"2,000","1,995","2,065","1,965",1.03M,0.50%
2019-12-18,"1,990","1,975","2,000","1,965",307.65K,1.27%
2019-12-17,"1,965","1,975","1,995","1,950",159.72K,-0.51%
2019-12-16,"1,975","2,000","2,000","1,960",228.06K,0.25%
2019-12-13,"1,970","1,970","1,980","1,940",230.12K,1.29%
2019-12-12,"1,945","1,905","1,980","1,890",454.02K,2.37%
2019-12-11,"1,900","1,870","1,905","1,865",80.96K,1.33%
2019-12-10,"1,875","1,895","1,920","1,860",164.39K,-1.06%
2019-12-09,"1,895","1,900","1,915","1,880",167.87K,-0.26%
2019-12-08,"1,900","1,900","1,900","1,900",-,0.00%
2019-12-06,"1,900","1,860","1,915","1,860",80.01K,2.15%
2019-12-05,"1,860","1,925","1,945","1,840",271.68K,-3.13%
2019-12-04,"1,920","1,960","1,960","1,920",118.90K,-1.79%
2019-12-03,"1,955","1,965","1,980","1,915",268.66K,-0.51%
2019-12-02,"1,965","1,980","2,010","1,935",247.24K,0.26%
2019-12-01,"1,960","1,960","1,960","1,960",-,0.00%
2019-11-29,"1,960","1,985","2,020","1,955",448.38K,-0.51%
2019-11-28,"1,970","2,000","2,040","1,960",798.07K,0.77%
2019-11-27,"1,955","1,965","1,985","1,940",403.38K,-0.76%
2019-11-26,"1,970","1,870","1,970","1,870",556.78K,5.35%
2019-11-25,"1,870","1,845","1,890","1,845",140.30K,1.08%
2019-11-24,"1,850","1,850","1,850","1,850",-,0.00%
2019-11-22,"1,850","1,870","1,890","1,835",162.03K,-1.07%
2019-11-21,"1,870","1,920","1,935","1,835",434.74K,-2.35%
2019-11-20,"1,915","1,980","1,980","1,910",429.71K,-3.28%
2019-11-19,"1,980","1,955","1,990","1,915",554.77K,1.02%
2019-11-18,"1,960","1,975","1,975","1,935",147.69K,-0.51%
2019-11-15,"1,970","1,980","1,995","1,940",296.32K,-0.51%
2019-11-14,"1,980","1,975","1,995","1,970",245.24K,0.51%
2019-11-13,"1,970","1,980","2,000","1,955",328.94K,-0.76%
2019-11-12,"1,985","1,990","2,025","1,970",432.80K,-0.50%
2019-11-11,"1,995","2,015","2,030","1,975",763.91K,-0.99%
2019-11-10,"2,015","2,015","2,015","2,015",-,0.00%
2019-11-08,"2,015","1,965","2,020","1,930",1.48M,3.33%
2019-11-07,"1,950","1,945","2,060","1,940",2.13M,0.52%
2019-11-06,"1,940","1,935","1,945","1,900",342.11K,0.26%
2019-11-05,"1,935","1,935","1,945","1,900",343.49K,0.00%
2019-11-04,"1,935","1,940","1,955","1,910",636.43K,1.57%
2019-11-03,"1,905","1,905","1,905","1,905",-,0.00%
2019-11-01,"1,905","1,885","2,010","1,885",2.03M,1.06%
2019-10-31,"1,885","1,940","1,970","1,870",1.22M,0.27%
2019-10-30,"1,880","1,860","1,885","1,845",396.46K,0.53%
2019-10-29,"1,870","1,860","1,870","1,820",557.17K,0.27%
2019-10-28,"1,865","1,870","1,980","1,815",4.09M,4.48%
2019-10-25,"1,785","1,795","1,835","1,780",263.84K,-0.56%
2019-10-24,"1,795","1,875","2,020","1,780",4.01M,-3.49%
2019-10-23,"1,860","1,905","1,925","1,840",479.04K,-2.62%
2019-10-22,"1,910","1,850","1,910","1,830",523.86K,3.24%
2019-10-21,"1,850","1,815","1,855","1,795",247.96K,1.93%
2019-10-20,"1,815","1,815","1,815","1,815",-,0.00%
2019-10-18,"1,815","1,835","1,855","1,810",121.87K,-1.09%
2019-10-17,"1,835","1,825","1,890","1,805",336.27K,0.27%
2019-10-16,"1,830","1,790","1,835","1,790",140.54K,1.67%
2019-10-15,"1,800","1,780","1,810","1,780",103.80K,1.41%
2019-10-14,"1,775","1,815","1,815","1,775",166.36K,0.00%
2019-10-11,"1,775","1,770","1,785","1,740",112.91K,0.00%
2019-10-10,"1,775","1,760","1,795","1,760",96.42K,0.00%
2019-10-09,"1,775","1,775","1,775","1,775",-,0.00%
2019-10-08,"1,775","1,715","1,800","1,710",275.37K,2.90%
2019-10-07,"1,725","1,745","1,745","1,705",181.29K,0.00%
2019-10-04,"1,725","1,750","1,780","1,725",229.21K,-2.54%
2019-10-03,"1,770","1,770","1,770","1,770",-,0.00%
2019-10-02,"1,770","1,775","1,820","1,765",166.87K,-1.39%
2019-10-01,"1,795","1,800","1,840","1,775",266.62K,-0.28%
2019-09-30,"1,800","1,890","1,890","1,790",604.37K,-4.00%
2019-09-29,"1,875","1,875","1,875","1,875",-,0.00%
2019-09-27,"1,875","1,875","1,945","1,850",503.65K,-0.27%
2019-09-26,"1,880","1,850","2,100","1,820",3.98M,1.90%
2019-09-25,"1,845","1,860","1,910","1,805",1.07M,-2.12%
2019-09-24,"1,885","1,910","1,935","1,885",131.46K,-0.79%
2019-09-23,"1,900","1,935","1,950","1,900",218.17K,-1.81%
2019-09-22,"1,935","1,935","1,935","1,935",-,0.00%
2019-09-20,"1,935","1,945","1,945","1,910",339.41K,-0.26%
2019-09-19,"1,940","1,950","1,965","1,900",408.13K,-0.51%
2019-09-18,"1,950","1,965","2,045","1,915",2.64M,1.83%
2019-09-17,"1,915","1,885","1,925","1,850",513.73K,2.41%
2019-09-16,"1,870","1,830","1,935","1,830",1.18M,2.19%
2019-09-15,"1,830","1,830","1,830","1,830",-,0.00%
2019-09-11,"1,830","1,765","1,830","1,765",165.74K,4.27%
2019-09-10,"1,755","1,765","1,780","1,745",88.26K,0.00%
2019-09-09,"1,755","1,800","1,810","1,745",123.86K,-1.96%
2019-09-06,"1,790","1,800","1,820","1,785",147.33K,-0.56%
2019-09-05,"1,800","1,780","1,825","1,780",231.45K,0.84%
2019-09-04,"1,785","1,780","1,790","1,760",124.45K,0.85%
2019-09-03,"1,770","1,740","1,780","1,740",95.67K,1.72%
2019-09-02,"1,740","1,715","1,750","1,715",127.18K,1.16%
2019-08-30,"1,720","1,710","1,730","1,700",160.11K,2.08%
2019-08-29,"1,685","1,675","1,735","1,665",283.95K,0.30%
2019-08-28,"1,680","1,650","1,680","1,645",148.61K,1.51%
2019-08-27,"1,655","1,650","1,685","1,650",183.69K,0.61%
2019-08-26,"1,645","1,670","1,695","1,645",243.63K,-4.08%
2019-08-23,"1,715","1,745","1,750","1,705",170.65K,-2.28%
2019-08-22,"1,755","1,780","1,795","1,750",202.32K,-2.50%
2019-08-21,"1,800","1,750","1,810","1,730",369.11K,2.86%
2019-08-20,"1,750","1,755","1,765","1,730",57.61K,0.57%
2019-08-19,"1,740","1,700","1,760","1,700",200.28K,2.96%
2019-08-16,"1,690","1,700","1,730","1,655",233.79K,-1.74%
2019-08-14,"1,720","1,740","1,750","1,720",113.50K,-0.58%
2019-08-13,"1,730","1,710","1,735","1,685",175.88K,1.47%
2019-08-12,"1,705","1,695","1,720","1,640",151.95K,0.29%
2019-08-09,"1,700","1,685","1,740","1,685",159.86K,0.29%
2019-08-08,"1,695","1,630","1,695","1,620",251.77K,5.61%
2019-08-07,"1,605","1,515","1,620","1,515",489.37K,4.22%
2019-08-06,"1,540","1,580","1,645","1,535",688.01K,-3.14%
2019-08-05,"1,590","1,790","1,810","1,590",595.01K,-11.17%
2019-08-02,"1,790","1,735","1,810","1,730",175.44K,0.85%
2019-08-01,"1,775","1,810","1,825","1,750",98.82K,-1.93%
2019-07-31,"1,810","1,720","1,825","1,705",249.04K,3.72%
2019-07-30,"1,745","1,690","1,790","1,685",307.26K,0.58%
2019-07-29,"1,735","1,830","1,880","1,730",805.80K,-7.71%
2019-07-26,"1,880","1,950","1,960","1,870",393.77K,-4.57%
2019-07-25,"1,970","1,980","2,010","1,930",402.87K,-0.51%
2019-07-24,"1,980","1,990","2,030","1,955",290.58K,-0.25%
2019-07-23,"1,985","1,960","2,030","1,960",264.20K,0.51%
2019-07-22,"1,975","1,970","1,995","1,930",145.04K,0.51%
2019-07-19,"1,965","1,920","1,975","1,920",174.26K,2.88%
2019-07-18,"1,910","1,905","1,930","1,900",150.63K,-0.26%
2019-07-17,"1,915","1,935","1,960","1,915",264.76K,-1.79%
2019-07-16,"1,950","1,950","1,980","1,925",259.50K,0.78%
2019-07-15,"1,935","1,990","1,995","1,935",291.73K,-3.73%
2019-07-14,"2,010","2,010","2,010","2,010",-,0.00%
2019-07-12,"2,010","2,000","2,020","1,970",157.98K,1.01%
2019-07-11,"1,990","1,950","2,000","1,945",260.84K,1.53%
2019-07-10,"1,960","1,905","1,970","1,905",268.38K,1.55%
2019-07-09,"1,930","1,930","1,985","1,925",514.80K,0.26%
2019-07-08,"1,925","2,060","2,075","1,905",801.33K,-7.00%
2019-07-05,"2,070","2,085","2,085","2,050",341.52K,-0.72%
2019-07-04,"2,085","2,135","2,170","2,075",566.50K,-1.65%
2019-07-03,"2,120","2,120","2,160","2,115",388.26K,0.24%
2019-07-02,"2,115","2,145","2,170","2,110",332.02K,-2.31%
2019-07-01,"2,165","2,150","2,190","2,135",294.37K,-1.14%
2019-06-30,"2,190","2,190","2,190","2,190",-,0.00%
2019-06-28,"2,190","2,220","2,230","2,170",525.49K,-2.67%
2019-06-27,"2,250","2,390","2,435","2,250",1.11M,-3.23%
2019-06-26,"2,325","2,400","2,430","2,275",2.07M,-1.06%
2019-06-25,"2,350","2,255","2,455","2,230",3.73M,4.91%
2019-06-24,"2,240","2,290","2,305","2,240",328.06K,-0.67%
2019-06-21,"2,255","2,255","2,285","2,245",291.93K,0.00%
2019-06-20,"2,255","2,205","2,270","2,205",297.76K,1.58%
2019-06-19,"2,220","2,200","2,235","2,185",202.02K,0.91%
2019-06-18,"2,200","2,225","2,265","2,190",332.28K,-1.79%
2019-06-17,"2,240","2,260","2,300","2,215",895.13K,1.82%
2019-06-16,"2,200","2,200","2,200","2,200",-,0.00%
2019-06-14,"2,200","2,185","2,250","2,180",475.37K,0.92%
2019-06-13,"2,180","2,160","2,185","2,150",189.24K,0.00%
2019-06-12,"2,180","2,155","2,195","2,150",184.26K,0.93%
2019-06-11,"2,160","2,160","2,195","2,150",237.62K,0.47%
2019-06-10,"2,150","2,150","2,180","2,135",277.95K,0.23%
2019-06-07,"2,145","2,110","2,150","2,105",310.70K,1.42%
2019-06-05,"2,115","2,090","2,135","2,070",375.86K,1.93%
2019-06-04,"2,075","2,050","2,080","2,045",241.08K,0.00%
2019-06-03,"2,075","2,085","2,100","2,060",230.64K,-0.72%
2019-05-31,"2,090","2,045","2,095","2,015",424.05K,1.21%
2019-05-30,"2,065","2,075","2,090","2,060",261.83K,0.00%
2019-05-29,"2,065","2,140","2,165","2,065",674.02K,-5.06%
2019-05-28,"2,175","2,225","2,265","2,170",790.10K,0.00%
2019-05-27,"2,175","2,220","2,355","2,150",2.04M,4.32%
2019-05-24,"2,085","2,100","2,170","2,085",399.97K,-0.71%
2019-05-23,"2,100","2,175","2,200","2,100",446.79K,-4.55%
2019-05-22,"2,200","2,200","2,245","2,190",368.71K,-0.45%
2019-05-21,"2,210","2,210","2,280","2,205",418.11K,-1.78%
2019-05-20,"2,250","2,330","2,400","2,250",473.16K,-1.53%
2019-05-17,"2,285","2,395","2,405","2,280",822.87K,-3.79%
2019-05-16,"2,375","2,455","2,530","2,365",1.39M,-4.04%
2019-05-15,"2,475","2,530","2,570","2,455",1.32M,0.41%
2019-05-14,"2,465","2,550","2,600","2,430",3.42M,1.65%
2019-05-13,"2,425","2,480","2,535","2,425",2.52M,3.63%
2019-05-10,"2,340","2,400","2,550","2,300",2.13M,-1.27%
2019-05-09,"2,370","2,460","2,550","2,370",849.07K,-4.63%
2019-05-08,"2,485","2,520","2,535","2,475",239.25K,-1.97%
2019-05-07,"2,535","2,490","2,565","2,450",385.39K,0.60%
2019-05-03,"2,520","2,495","2,560","2,495",459.76K,1.00%
2019-05-02,"2,495","2,480","2,495","2,455",184.46K,0.60%
2019-04-30,"2,480","2,460","2,485","2,445",187.75K,0.61%
2019-04-29,"2,465","2,435","2,495","2,430",259.74K,0.61%
2019-04-26,"2,450","2,485","2,500","2,405",425.00K,-2.00%
2019-04-25,"2,500","2,610","2,610","2,485",668.90K,-4.21%
