날짜,시가*,고가,저가,종가**,거래량,시가총액
07-Feb-17,"\1,160,555.59","\1,184,868.23","\1,160,555.59","\1,184,221.00","\162,910,037,534","\19,125,479,782,688"
06-Feb-17,"\1,147,456.47","\1,165,576.55","\1,147,188.70","\1,158,335.22","\124,700,532,285","\18,705,215,977,947"
05-Feb-17,"\1,164,326.89","\1,164,449.61","\1,140,728.36","\1,146,273.69","\127,429,702,324","\18,508,637,794,528"
04-Feb-17,"\1,150,725.60","\1,166,982.42","\1,132,683.64","\1,163,635.12","\173,015,544,981","\18,786,655,828,621"
03-Feb-17,"\1,128,555.35","\1,153,559.70","\1,125,576.20","\1,149,141.30","\224,579,675,893","\18,550,601,107,252"
02-Feb-17,"\1,104,612.02","\1,130,853.83","\1,097,047.15","\1,128,934.67","\162,702,486,719","\18,222,304,134,193"
01-Feb-17,"\1,083,345.47","\1,103,622.38","\1,083,123.46","\1,103,520.84","\167,488,027,247","\17,809,915,724,946"
31-Jan-17,"\1,027,577.13","\1,084,548.28","\1,027,577.13","\1,082,745.23","\183,635,430,687","\17,472,028,897,018"
30-Jan-17,"\1,026,675.61","\1,029,907.96","\1,025,920.23","\1,026,933.37","\87,283,561,948","\16,569,556,287,077"
29-Jan-17,"\1,028,813.44","\1,030,320.86","\1,025,556.51","\1,025,944.75","\67,896,417,212","\16,551,733,357,781"
28-Jan-17,"\1,026,296.22","\1,030,870.91","\1,026,296.22","\1,028,281.23","\76,965,272,962","\16,587,306,875,961"
27-Jan-17,"\1,024,676.16","\1,030,103.28","\1,021,872.23","\1,026,228.19","\140,133,843,809","\16,552,239,664,124"
26-Jan-17,"\1,006,864.04","\1,025,755.09","\1,006,673.22","\1,023,813.66","\147,234,595,294","\16,511,094,135,709"
25-Jan-17,"\995,180.82","\1,007,820.25","\994,916.38","\1,005,912.26","\134,819,437,881","\16,220,473,186,455"
24-Jan-17,"\1,016,104.82","\1,031,132.01","\995,584.73","\996,032.15","\124,239,719,845","\16,059,287,158,382"
23-Jan-17,"\1,032,642.77","\1,035,730.06","\1,022,867.46","\1,027,636.31","\82,107,850,522","\16,566,947,959,130"
22-Jan-17,"\1,028,967.42","\1,046,061.00","\1,001,473.77","\1,031,721.09","\130,068,495,106","\16,631,021,450,125"
21-Jan-17,"\999,225.48","\1,034,727.00","\999,209.82","\1,028,503.24","\124,026,608,039","\16,576,875,235,818"
20-Jan-17,"\1,002,152.13","\1,003,520.07","\989,695.69","\998,641.92","\96,768,827,009","\16,093,339,284,991"
19-Jan-17,"\991,176.34","\1,009,339.93","\986,716.60","\1,003,157.44","\117,853,060,276","\16,163,712,294,919"
18-Jan-17,"\1,014,649.84","\1,023,716.62","\957,668.69","\989,260.52","\251,803,305,478","\15,937,679,790,656"
17-Jan-17,"\927,143.45","\1,015,975.36","\926,976.13","\1,013,048.71","\173,050,142,734","\16,318,986,171,698"
16-Jan-17,"\916,919.70","\931,142.42","\915,232.64","\927,799.54","\92,335,655,136","\14,943,904,857,975"
15-Jan-17,"\912,857.20","\918,620.12","\906,975.92","\916,936.39","\79,234,746,331","\14,767,019,869,380"
14-Jan-17,"\920,667.58","\931,761.66","\906,512.90","\913,158.41","\103,837,105,164","\14,704,270,531,520"
13-Jan-17,"\896,784.52","\924,973.27","\870,302.86","\919,375.50","\188,529,191,846","\14,802,405,059,541"
12-Jan-17,"\864,919.26","\921,899.33","\843,248.81","\898,008.50","\248,064,373,765","\14,456,713,184,773"
11-Jan-17,"\1,013,246.21","\1,025,891.22","\851,069.27","\867,796.87","\346,924,811,699","\13,968,459,068,436"
10-Jan-17,"\1,006,914.23","\1,020,786.57","\1,005,374.47","\1,012,759.76","\129,214,932,113","\16,299,912,328,319"
09-Jan-17,"\1,018,969.02","\1,019,462.14","\981,661.05","\1,007,347.15","\158,301,895,289","\16,210,796,464,425"
08-Jan-17,"\1,013,313.15","\1,051,861.85","\989,964.62","\1,016,687.22","\177,089,225,132","\16,359,362,019,712"
07-Jan-17,"\1,008,082.44","\1,013,770.65","\918,897.97","\1,013,770.65","\311,913,135,013","\16,310,339,729,434"
06-Jan-17,"\1,131,657.15","\1,167,997.81","\986,276.94","\1,006,647.55","\392,612,198,226","\16,193,926,258,375"
05-Jan-17,"\1,290,643.01","\1,328,991.97","\1,015,814.71","\1,130,697.61","\569,264,042,059","\18,187,312,765,724"
04-Jan-17,"\1,165,308.77","\1,293,644.50","\1,165,308.77","\1,288,411.47","\384,879,903,851","\20,721,908,617,789"
03-Jan-17,"\1,139,869.19","\1,164,951.65","\1,139,869.19","\1,164,683.88","\206,604,643,457","\18,729,703,640,006"
02-Jan-17,"\1,114,225.51","\1,150,792.61","\1,112,088.84","\1,140,036.59","\247,907,041,463","\18,330,990,268,236"
01-Jan-17,"\1,075,219.38","\1,119,205.20","\1,069,686.23","\1,113,899.72","\164,882,716,451","\17,908,540,950,487"
31-Dec-16,"\1,071,837.48","\1,075,314.17","\1,056,896.23","\1,075,314.17","\110,611,837,985","\17,286,105,813,744"
30-Dec-16,"\1,085,124.00","\1,085,124.00","\1,043,057.33","\1,072,519.17","\209,177,605,890","\17,239,190,903,995"
29-Dec-16,"\1,088,013.87","\1,092,780.41","\1,065,004.48","\1,086,197.41","\222,395,000,939","\17,456,888,895,513"
28-Dec-16,"\1,043,055.09","\1,088,902.05","\1,043,055.09","\1,088,902.05","\264,024,328,077","\17,498,341,945,156"
27-Dec-16,"\1,013,512.89","\1,048,876.03","\1,008,939.36","\1,041,233.04","\186,677,015,940","\16,730,154,563,723"
26-Dec-16,"\1,000,738.49","\1,018,902.07","\1,000,730.65","\1,012,682.74","\138,099,797,618","\16,269,457,343,109"
25-Dec-16,"\1,003,803.44","\1,003,803.44","\962,265.65","\999,932.85","\160,296,889,578","\16,062,821,588,341"
24-Dec-16,"\1,028,939.50","\1,030,388.89","\988,944.80","\1,002,877.40","\153,671,473,377","\16,108,078,092,810"
23-Dec-16,"\965,014.89","\1,032,216.52","\964,779.46","\1,028,720.82","\307,465,663,450","\16,521,397,199,474"
22-Dec-16,"\930,751.86","\977,170.05","\930,717.26","\964,626.58","\223,183,858,278","\15,490,202,575,432"
21-Dec-16,"\893,333.43","\930,864.56","\891,951.04","\930,864.56","\173,586,818,513","\14,946,217,337,307"
20-Dec-16,"\883,964.35","\894,106.65","\883,127.52","\893,592.28","\111,163,241,910","\14,345,965,029,096"
19-Dec-16,"\882,229.34","\885,486.27","\881,814.26","\884,485.39","\83,555,895,035","\14,198,256,789,801"
18-Dec-16,"\882,581.90","\886,742.60","\879,254.68","\882,048.60","\67,531,226,143","\14,157,441,342,564"
17-Dec-16,"\876,063.60","\884,256.64","\875,726.64","\882,382.16","\88,134,339,982","\14,161,273,963,582"
16-Dec-16,"\869,142.48","\875,914.05","\869,142.48","\875,774.58","\93,287,405,767","\14,053,653,071,245"
15-Dec-16,"\870,377.63","\871,900.65","\867,847.06","\868,166.19","\91,024,510,970","\13,930,105,625,464"
