날짜,종가,오픈,고가,저가,거래량,변동 %
2017년 03월 17일,"4,518","4,573","4,609","4,396",559.93K,-2.17%
2017년 03월 16일,"4,618","4,691","4,791","4,609",347.84K,-1.74%
2017년 03월 15일,"4,700","4,809","4,818","4,582",558.47K,0.19%
2017년 03월 14일,"4,691","4,782","4,782","4,546",736.80K,-1.53%
2017년 03월 13일,"4,764","4,982","4,982","4,523",1.58M,-15.38%
2017년 03월 12일,"5,630","5,630","5,630","5,630",7.39K,10.00%
2017년 03월 10일,"5,118","5,082","5,146","4,846",812.50K,1.43%
2017년 03월 09일,"5,046","4,791","5,109","4,791",1.37M,5.72%
2017년 03월 08일,"4,773","4,891","4,946","4,691",761.09K,-0.56%
2017년 03월 07일,"4,800","4,627","5,082","4,600",2.31M,3.14%
2017년 03월 06일,"4,654","4,591","4,700","4,459",452.47K,1.17%
2017년 03월 03일,"4,600","4,727","4,764","4,500",775.39K,-2.87%
2017년 03월 02일,"4,736","4,654","4,818","4,573",1.19M,-6.40%
2017년 03월 01일,"5,060","5,060","5,060","5,060",-,10.00%
2017년 02월 28일,"4,600","4,836","4,891","4,536",1.28M,-3.99%
2017년 02월 27일,"4,791","4,154","5,027","4,154",3.93M,15.45%
2017년 02월 24일,"4,150","4,018","4,268","3,954",316.30K,2.82%
2017년 02월 23일,"4,036","4,136","4,214","4,018",362.26K,-4.95%
2017년 02월 22일,"4,246","4,364","4,436","4,154",347.84K,-3.89%
2017년 02월 21일,"4,418","4,386","4,423","4,300",214.62K,0.82%
2017년 02월 20일,"4,382","4,382","4,436","4,318",217.70K,0.00%
2017년 02월 17일,"4,382","4,164","4,482","4,159",549.35K,2.67%
2017년 02월 16일,"4,268","4,096","4,459","4,014",648.74K,4.92%
2017년 02월 15일,"4,068","4,100","4,109","3,914",165.12K,-0.78%
2017년 02월 14일,"4,100","4,223","4,336","4,009",426.30K,0.89%
2017년 02월 13일,"4,064","3,973","4,064","3,864",192.48K,1.02%
2017년 02월 10일,"4,023","3,882","4,054","3,791",219.76K,2.92%
2017년 02월 09일,"3,909","3,777","3,909","3,727",102.65K,3.60%
2017년 02월 08일,"3,773","3,827","3,904","3,550",437.36K,-1.41%
2017년 02월 07일,"3,827","3,982","4,023","3,791",239.68K,-4.54%
2017년 02월 06일,"4,009","3,954","4,086","3,864",225.96K,-8.57%
2017년 02월 05일,"4,385","4,385","4,385","4,385",1.81K,10.01%
2017년 02월 03일,"3,986","4,318","4,364","3,909",531.77K,-7.69%
2017년 02월 02일,"4,318","4,246","4,454","4,196",380.65K,-0.83%
2017년 02월 01일,"4,354","4,391","4,500","4,354",416.35K,-0.84%
2017년 01월 31일,"4,391","4,268","4,527","4,100",718.08K,-5.57%
2017년 01월 30일,"4,650","4,650","4,650","4,650",0.87K,10.01%
2017년 01월 26일,"4,227","3,968","4,541","3,968",1.68M,8.50%
2017년 01월 25일,"3,896","3,691","4,173","3,641",577.28K,3.89%
2017년 01월 24일,"3,750","3,832","4,000","3,750",305.67K,-2.14%
2017년 01월 23일,"3,832","4,104","4,123","3,727",287.46K,-5.71%
2017년 01월 20일,"4,064","4,004","4,136","3,977",339.04K,0.69%
2017년 01월 19일,"4,036","3,868","4,241","3,868",698.84K,3.38%
2017년 01월 18일,"3,904","3,891","3,991","3,877",377.79K,-1.96%
2017년 01월 17일,"3,982","3,941","4,077","3,846",677.78K,0.81%
2017년 01월 16일,"3,950","3,768","4,041","3,718",1.37M,-3.19%
2017년 01월 15일,"4,080","4,080","4,080","4,080",0.93K,10.00%
2017년 01월 13일,"3,709","3,436","3,846","3,250",3.40M,8.36%
2017년 01월 12일,"3,423","3,514","3,704","3,354",2.77M,2.45%
2017년 01월 11일,"3,341","4,518","4,582","3,173",3.43M,-26.20%
2017년 01월 10일,"4,527","4,532","4,582","4,427",275.50K,-0.11%
2017년 01월 09일,"4,532","4,364","4,791","4,323",1.20M,-5.58%
2017년 01월 08일,"4,800","4,800","4,800","4,800",0.03K,9.99%
2017년 01월 06일,"4,364","4,254","4,364","4,073",1.43M,-0.91%
2017년 01월 05일,"4,404","3,654","4,609","3,654",4.92M,22.03%
2017년 01월 04일,"3,609","3,282","3,609","3,254",1.77M,10.13%
2017년 01월 03일,"3,277","3,482","3,527","3,236",917.40K,-5.64%
2017년 01월 02일,"3,473","3,482","3,586","3,418",541.87K,0.55%
2016년 12월 29일,"3,454","3,282","3,454","3,273",93.58K,3.94%
2016년 12월 28일,"3,323","3,323","3,346","3,250",133.25K,1.13%
2016년 12월 27일,"3,286","3,546","3,546","3,250",199.86K,-5.49%
2016년 12월 26일,"3,477","3,527","3,577","3,454",155.73K,0.67%
2016년 12월 23일,"3,454","3,536","3,536","3,409",100.40K,-1.31%
2016년 12월 22일,"3,500","3,554","3,591","3,432",235.42K,-1.02%
2016년 12월 21일,"3,536","3,409","3,591","3,404",364.57K,2.76%
